;DATE;TIME;OPEN;HIGH;LOW;CLOSE;VOL;SMA30
0;20211201;0;338.57;350.37;337.61;345.21;92906220;
1;20211202;0;347.3;352.67;344.8;350.3;75360830;
2;20211203;0;351.5;353.13;343.21;345.99;51627900;
3;20211206;0;347.27;349.36;333.35;338.94;70924550;
4;20211207;0;339.25;346.0;333.43;344.96;75507480;
5;20211208;0;346.0;348.47;336.53;340.5;78321390;
6;20211209;0;341.45;344.2;335.72;336.6;61406510;
7;20211210;0;337.02;338.31;329.98;332.0;44642520;
8;20211213;0;333.09;334.88;305.76;307.26;140577980;
9;20211214;0;306.99;320.0;289.78;319.35;168672960;
10;20211215;0;319.65;325.83;316.5;324.09;79742820;
11;20211216;0;326.18;332.3;325.38;328.39;95469330;
12;20211217;0;327.98;329.7;323.03;327.3;72099410;
13;20211220;0;324.0;326.0;316.11;325.9;70795770;
14;20211221;0;326.75;339.88;326.5;339.88;80061070;
15;20211222;0;340.01;349.59;339.29;345.55;96809420;
16;20211223;0;346.1;348.32;337.0;339.81;72129000;
17;20211224;0;339.3;340.98;334.55;338.79;39005950;
18;20211227;0;339.68;343.97;339.33;343.97;29925890;
19;20211228;0;344.04;346.6;342.55;343.23;34848840;
20;20211229;0;343.3;344.48;337.13;340.33;43005060;
21;20211230;0;340.75;344.0;337.4;342.39;40853240;
22;20220103;0;345.01;353.88;344.3;353.73;40057980;
23;20220104;0;353.99;358.1;348.35;352.55;52693510;
24;20220105;0;351.9;353.5;331.55;335.0;80969440;
25;20220106;0;335.8;347.67;330.11;346.13;74572470;
26;20220110;0;348.33;351.0;340.51;344.0;51047490;
27;20220111;0;344.68;347.0;341.27;343.74;41961140;
28;20220112;0;344.11;348.64;339.57;347.43;53443260;
29;20220113;0;347.11;347.5;333.49;337.6;118257640;339.237
30;20220114;0;338.59;340.96;321.51;335.76;120546960;339.2376666666667
31;20220117;0;335.91;338.95;319.17;327.81;96925780;338.858
32;20220118;0;329.15;329.3;296.7;301.11;220096130;338.113
33;20220119;0;300.0;320.42;282.72;318.36;220036310;336.5373333333334
34;20220120;0;318.36;326.69;310.07;310.42;130261430;335.84100000000007
35;20220121;0;309.49;321.99;303.5;311.6;119002830;334.624
36;20220124;0;310.78;314.0;280.6;294.59;236346280;333.60166666666663
37;20220125;0;293.9;305.0;289.62;302.96;143155040;332.16433333333333
38;20220126;0;302.9;307.7;293.7;299.6;125060870;331.158
39;20220127;0;296.85;330.0;294.0;325.25;216008170;330.81999999999994
40;20220128;0;325.51;334.9;322.05;329.58;116166660;331.01533333333333
41;20220131;0;330.92;336.41;330.52;334.8;69903820;331.1733333333333
42;20220201;0;334.94;336.63;325.3;330.95;67998200;331.4053333333333
43;20220202;0;332.39;333.7;325.7;331.7;54751740;331.685
44;20220203;0;329.99;331.0;322.3;323.75;57592210;331.793
45;20220204;0;325.5;334.5;320.88;324.6;88647300;331.3093333333333
46;20220207;0;324.53;327.44;316.64;321.25;56290530;330.5903333333333
47;20220208;0;321.45;331.87;319.0;331.7;77965300;329.99533333333335
48;20220209;0;332.3;336.0;330.18;335.08;63254680;329.7493333333333
49;20220210;0;335.41;335.47;328.1;328.93;61929870;329.4616666666667
50;20220211;0;328.95;328.95;316.2;318.1;100750430;328.98333333333335
51;20220214;0;314.1;324.9;303.25;321.85;121203060;328.095
52;20220215;0;322.5;335.5;322.44;333.6;96875770;327.3446666666667
53;20220216;0;335.86;339.98;331.62;336.5;77128130;326.7403333333333
54;20220217;0;336.36;336.36;322.04;323.51;102149710;326.2223333333333
55;20220218;0;325.6;329.32;306.7;309.48;125452970;325.88233333333335
56;20220221;0;309.47;318.9;241.0;257.3;413243360;324.58700000000005
57;20220222;0;253.95;284.07;246.7;283.51;324922990;321.5626666666667
58;20220224;0;255.02;255.02;126.53;210.0;413550130;318.593
59;20220225;0;208.01;244.94;191.6;228.0;211877250;313.9563333333333
60;20220324;0;251.41;278.9;232.0;258.51;78576580;311.0503333333333
61;20220325;0;263.99;269.33;225.6;227.0;67191030;308.653
62;20220328;0;225.25;229.45;213.03;218.6;24680170;305.1896666666667
63;20220329;0;220.0;226.0;206.0;208.0;40309120;302.523
64;20220330;0;211.02;219.41;210.52;216.0;38559960;298.94499999999994
65;20220331;0;218.98;249.0;217.1;242.48;83862320;295.928
66;20220401;0;245.9;258.7;242.48;251.4;50423650;293.7653333333334
67;20220404;0;254.04;259.99;237.31;252.9;40926330;292.43666666666667
68;20220405;0;254.01;256.39;231.45;243.5;39850580;290.80699999999996
69;20220406;0;238.73;247.8;234.41;239.7;20530890;288.86966666666666
70;20220407;0;240.04;246.8;239.13;245.0;22367990;286.02066666666667
71;20220408;0;246.79;246.79;240.0;241.07;14799110;283.21633333333335
72;20220411;0;241.9;242.78;234.16;234.55;15637750;280.115
73;20220412;0;234.0;236.63;223.0;236.3;26615790;276.8353333333333
74;20220413;0;237.99;239.64;232.13;234.87;12663510;273.76866666666666
75;20220414;0;234.9;235.5;221.1;222.11;21906730;270.7486666666667
76;20220415;0;221.99;226.65;215.74;224.0;19933030;267.3306666666667
77;20220418;0;224.29;226.0;216.6;216.99;15584460;264.092
78;20220419;0;216.9;222.0;207.0;220.72;30669110;260.24533333333335
79;20220420;0;221.43;229.84;215.63;218.92;33569140;256.446
80;20220421;0;220.03;221.0;210.29;210.29;24292390;252.81533333333334
81;20220422;0;210.5;215.0;207.01;208.0;28717940;249.36200000000002
82;20220425;0;209.95;209.95;201.12;206.35;18767820;245.61033333333336
83;20220426;0;207.97;229.74;206.54;225.85;46484770;241.34733333333332
