<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20211201;000000;294.1500000;300.0000000;294.1000000;296.4500000;2479110
20211202;000000;297.9500000;298.4000000;294.8000000;297.8500000;2140350
20211203;000000;298.0500000;298.3500000;294.1500000;295.1000000;1985070
20211206;000000;295.2500000;300.6000000;290.3500000;293.8500000;2339860
20211207;000000;293.8500000;294.9500000;289.5500000;291.4500000;3115520
20211208;000000;291.5000000;294.1500000;287.0500000;290.1000000;4351310
20211209;000000;291.0000000;291.3000000;287.5500000;288.4500000;2745850
20211210;000000;288.5000000;290.6500000;285.1500000;287.0500000;4897940
20211213;000000;288.6000000;289.2000000;276.5500000;277.4500000;5643010
20211214;000000;278.0000000;280.1000000;265.7000000;276.2500000;4925680
20211215;000000;277.9500000;284.5000000;276.2500000;279.8500000;5620070
20211216;000000;279.9500000;287.7000000;278.1000000;286.9500000;6936700
20211217;000000;287.0000000;292.0500000;285.0000000;289.4000000;6363890
20211220;000000;289.4000000;291.3000000;285.1500000;290.4000000;3275260
20211221;000000;290.4500000;291.7500000;288.2000000;290.0500000;4262260
20211222;000000;290.1000000;295.4000000;289.5500000;291.2500000;2965430
20211223;000000;291.2000000;292.7500000;289.7000000;290.5500000;1466640
20211224;000000;290.5000000;292.0500000;287.2000000;290.7000000;1835430
20211227;000000;290.7000000;294.9500000;290.2000000;293.9500000;1973210
20211228;000000;294.4500000;297.2000000;293.0500000;295.6000000;2022600
20211229;000000;296.7000000;297.5500000;294.1000000;296.4000000;1418990
20211230;000000;296.4000000;298.9500000;295.5500000;298.9000000;1131710
20220103;000000;299.0000000;305.0000000;298.0500000;304.6500000;2093030
20220104;000000;304.6500000;306.5000000;302.8500000;304.9500000;1854220
20220105;000000;305.1500000;306.0000000;298.3000000;298.3000000;1840990
20220106;000000;298.0000000;300.6000000;295.3500000;299.2000000;2449240
20220110;000000;300.2000000;302.5000000;291.1000000;295.8500000;1808120
20220111;000000;295.7500000;297.5000000;293.5500000;296.2000000;1817570
20220112;000000;296.0000000;301.0000000;294.2000000;296.4500000;1837630
20220113;000000;296.4500000;298.3500000;287.9500000;291.6500000;3468750
20220114;000000;291.2500000;292.7000000;281.6000000;289.6500000;4603710
20220117;000000;289.5000000;291.4500000;276.1000000;281.7000000;5543820
20220118;000000;282.2000000;284.0000000;267.1000000;272.9500000;10115990
20220119;000000;273.1000000;286.7000000;267.0000000;274.8000000;8948650
20220120;000000;275.9000000;280.6500000;273.2000000;274.4000000;5290440
20220121;000000;274.1500000;279.7000000;272.0500000;273.4500000;4606200
20220124;000000;273.8000000;275.4500000;263.3000000;272.9500000;10598470
20220125;000000;271.5500000;279.5000000;268.2000000;279.4500000;5771900
20220126;000000;279.4500000;284.9000000;276.2500000;277.9000000;5605390
20220127;000000;277.8500000;289.0000000;275.0500000;278.4500000;6089890
20220128;000000;280.0000000;285.5500000;275.2000000;285.5500000;3495320
20220131;000000;286.1000000;292.0000000;286.0000000;287.4000000;4805940
20220201;000000;288.4500000;291.0000000;286.2500000;289.6000000;2440500
20220202;000000;289.7000000;290.9000000;285.5000000;285.8000000;2057660
20220203;000000;285.5000000;286.1500000;280.0000000;284.6000000;2046930
20220204;000000;284.7500000;288.3000000;281.5000000;283.2500000;1703930
20220207;000000;284.9500000;286.7000000;282.2500000;284.4500000;1036560
20220208;000000;283.6500000;290.1500000;283.5500000;289.7500000;1488950
