;DATE;TIME;OPEN;HIGH;LOW;CLOSE;VOL;SMA30
0;20211201;0;294.15;300.0;294.1;296.45;2479110;
1;20211202;0;297.95;298.4;294.8;297.85;2140350;
2;20211203;0;298.05;298.35;294.15;295.1;1985070;
3;20211206;0;295.25;300.6;290.35;293.85;2339860;
4;20211207;0;293.85;294.95;289.55;291.45;3115520;
5;20211208;0;291.5;294.15;287.05;290.1;4351310;
6;20211209;0;291.0;291.3;287.55;288.45;2745850;
7;20211210;0;288.5;290.65;285.15;287.05;4897940;
8;20211213;0;288.6;289.2;276.55;277.45;5643010;
9;20211214;0;278.0;280.1;265.7;276.25;4925680;
10;20211215;0;277.95;284.5;276.25;279.85;5620070;
11;20211216;0;279.95;287.7;278.1;286.95;6936700;
12;20211217;0;287.0;292.05;285.0;289.4;6363890;
13;20211220;0;289.4;291.3;285.15;290.4;3275260;
14;20211221;0;290.45;291.75;288.2;290.05;4262260;
15;20211222;0;290.1;295.4;289.55;291.25;2965430;
16;20211223;0;291.2;292.75;289.7;290.55;1466640;
17;20211224;0;290.5;292.05;287.2;290.7;1835430;
18;20211227;0;290.7;294.95;290.2;293.95;1973210;
19;20211228;0;294.45;297.2;293.05;295.6;2022600;
20;20211229;0;296.7;297.55;294.1;296.4;1418990;
21;20211230;0;296.4;298.95;295.55;298.9;1131710;
22;20220103;0;299.0;305.0;298.05;304.65;2093030;
23;20220104;0;304.65;306.5;302.85;304.95;1854220;
24;20220105;0;305.15;306.0;298.3;298.3;1840990;
25;20220106;0;298.0;300.6;295.35;299.2;2449240;
26;20220110;0;300.2;302.5;291.1;295.85;1808120;
27;20220111;0;295.75;297.5;293.55;296.2;1817570;
28;20220112;0;296.0;301.0;294.2;296.45;1837630;
29;20220113;0;296.45;298.35;287.95;291.65;3468750;292.89500000000004
30;20220114;0;291.25;292.7;281.6;289.65;4603710;292.79833333333335
31;20220117;0;289.5;291.45;276.1;281.7;5543820;292.51666666666665
32;20220118;0;282.2;284.0;267.1;272.95;10115990;291.98833333333334
33;20220119;0;273.1;286.7;267.0;274.8;8948650;291.25
34;20220120;0;275.9;280.65;273.2;274.4;5290440;290.65166666666664
35;20220121;0;274.15;279.7;272.05;273.45;4606200;290.0733333333334
36;20220124;0;273.8;275.45;263.3;272.95;10598470;289.5
37;20220125;0;271.55;279.5;268.2;279.45;5771900;288.935
38;20220126;0;279.45;284.9;276.25;277.9;5605390;288.63
39;20220127;0;277.85;289.0;275.05;278.45;6089890;288.625
40;20220128;0;280.0;285.55;275.2;285.55;3495320;288.6933333333334
41;20220131;0;286.1;292.0;286.0;287.4;4805940;288.89833333333337
42;20220201;0;288.45;291.0;286.25;289.6;2440500;288.94666666666666
43;20220202;0;289.7;290.9;285.5;285.8;2057660;288.9566666666667
44;20220203;0;285.5;286.15;280.0;284.6;2046930;288.7916666666667
45;20220204;0;284.75;288.3;281.5;283.25;1703930;288.61333333333334
46;20220207;0;284.95;286.7;282.25;284.45;1036560;288.405
47;20220208;0;283.65;290.15;283.55;289.75;1488950;288.1766666666666
48;20220209;0;290.0;290.5;286.75;289.9;3587920;288.1533333333333
49;20220210;0;289.95;294.9;283.6;293.45;4457650;288.00333333333333
50;20220211;0;292.95;292.95;282.7;284.8;3350700;287.87833333333333
51;20220214;0;283.5;286.7;276.5;280.8;5063360;287.4483333333334
52;20220215;0;281.45;287.85;280.7;287.3;3278770;286.86333333333334
53;20220216;0;286.95;291.65;286.0;287.4;2972110;286.27333333333337
54;20220217;0;287.4;287.8;281.1;283.45;4539810;285.6816666666666
55;20220218;0;284.95;286.9;271.3;272.85;5274510;285.24666666666667
56;20220221;0;273.0;278.0;226.0;239.75;20241500;284.34000000000003
57;20220222;0;235.45;263.9;219.5;260.85;16717910;282.33
58;20220224;0;238.0;240.0;155.0;206.65;10822790;280.39666666666665
59;20220225;0;205.0;247.8;205.0;217.5;6146110;277.34833333333336
60;20220324;0;200.0;236.0;198.15;205.6;3077740;274.3066666666667
61;20220325;0;206.9;208.25;188.2;190.6;3898530;271.55333333333334
62;20220328;0;191.0;194.2;181.2;184.8;966300;268.5133333333333
63;20220329;0;184.8;188.65;171.5;174.7;1988410;265.57
64;20220330;0;177.2;235.0;177.2;233.0;3495200;262.28
65;20220331;0;229.0;248.0;212.15;238.65;3892590;260.775
66;20220401;0;238.6;248.1;232.0;235.0;1405200;259.60166666666663
67;20220404;0;235.15;239.05;224.2;231.0;1081600;258.3883333333333
68;20220405;0;231.0;231.05;215.35;218.0;1019260;256.7733333333333
69;20220406;0;217.3;220.0;212.0;215.0;696630;254.75500000000002
70;20220407;0;216.0;221.85;215.05;216.5;538620;252.6216666666667
71;20220408;0;233.95;234.95;213.0;215.2;2037190;250.88333333333333
72;20220411;0;217.8;217.8;210.1;211.75;685370;248.52833333333334
73;20220412;0;213.95;213.95;204.0;210.9;881920;246.00333333333336
74;20220413;0;214.0;215.9;210.0;210.5;722550;243.62
75;20220414;0;212.5;213.2;205.0;205.8;547160;241.21166666666667
76;20220415;0;205.6;211.7;200.45;207.35;1047950;238.56666666666666
77;20220418;0;207.9;213.4;203.2;203.8;906380;236.04166666666666
78;20220419;0;205.0;205.0;195.1;201.8;1191780;233.20833333333334
79;20220420;0;201.6;202.4;195.25;196.95;1602980;230.26333333333332
80;20220421;0;197.3;198.25;192.3;192.4;1073750;227.075
81;20220422;0;193.5;194.75;188.05;188.05;1036540;224.075
82;20220425;0;188.1;188.3;181.65;185.0;1339690;220.9633333333333
83;20220426;0;184.7;197.3;184.55;196.35;3911040;217.55499999999998
84;20220427;0;196.8;208.2;194.35;207.6;4755020;214.535
85;20220428;0;208.0;212.7;202.25;205.0;2838950;211.97
86;20220429;0;205.65;209.35;205.05;209.05;1112470;209.725
87;20220504;0;209.1;212.2;207.15;208.7;843570;208.84666666666666
88;20220505;0;209.0;214.95;208.75;214.1;1057770;207.88
89;20220506;0;213.7;214.4;209.25;211.0;907460;208.17
90;20220511;0;211.25;211.25;206.1;209.45;789890;208.54500000000002
91;20220512;0;209.1;209.3;198.3;200.1;1593620;208.61833333333334
92;20220513;0;201.3;202.95;199.0;200.85;1179810;208.96166666666667
93;20220516;0;201.05;210.0;200.45;210.0;1187790;209.5033333333333
94;20220517;0;208.5;219.6;205.0;217.5;2052960;210.54666666666665
95;20220518;0;249.0;282.9;242.6;243.0;12001580;211.2133333333333
96;20220519;0;242.3;246.0;237.6;243.15;2433320;211.33666666666664
97;20220520;0;244.8;245.9;237.0;238.5;1652400;211.65833333333333
98;20220523;0;239.0;240.0;232.3;236.0;1147840;211.925
99;20220524;0;236.0;245.45;230.7;243.4;2227800;212.54833333333332
100;20220525;0;244.9;249.45;242.55;248.0;2274270;213.51166666666666
101;20220526;0;249.0;251.5;245.0;245.75;2092890;214.01333333333332
102;20220527;0;245.7;248.75;243.9;246.9;1325810;214.94333333333333
103;20220530;0;246.9;255.0;246.1;255.0;1691210;216.04166666666666
104;20220531;0;254.9;257.0;251.75;254.95;1073280;217.405
105;20220601;0;254.95;257.95;253.0;257.05;987190;218.82000000000002
106;20220602;0;257.05;261.9;252.75;261.7;2188060;220.53499999999997
107;20220603;0;261.15;263.4;254.0;259.5;1411060;222.31
108;20220606;0;260.0;270.5;258.0;268.35;2585970;224.14333333333335
109;20220607;0;267.25;271.75;265.0;270.2;1503520;226.33166666666668
110;20220608;0;270.0;274.5;270.0;272.35;1446480;228.75500000000002
111;20220609;0;271.8;272.35;268.15;270.7;785300;231.36500000000004
112;20220610;0;270.95;274.9;269.1;274.0;1310130;234.12666666666667
113;20220614;0;274.3;275.0;272.35;274.9;1309930;237.11333333333334
114;20220615;0;274.95;277.1;273.5;276.1;1373670;239.71833333333333
115;20220616;0;276.85;277.05;275.35;277.05;885250;242.01333333333332
116;20220617;0;276.3;277.0;272.2;274.7;802650;244.36833333333334
117;20220620;0;274.5;276.45;274.0;274.45;932580;246.54833333333332
118;20220621;0;275.0;275.55;269.85;272.7;1106130;248.74833333333333
119;20220622;0;273.0;277.0;267.1;274.0;1791310;250.725
120;20220623;0;279.0;279.5;274.0;276.2;2625800;252.98333333333332
121;20220624;0;276.45;281.4;275.25;278.35;1467930;255.22833333333332
122;20220627;0;278.95;280.65;275.0;276.2;912010;257.81666666666666
123;20220628;0;276.2;278.7;275.3;277.4;951570;260.32166666666666
124;20220629;0;277.5;278.0;275.0;275.7;703030;262.62166666666667
125;20220630;0;275.7;276.4;256.5;273.7;2548180;263.51166666666666
126;20220701;0;272.0;279.0;269.05;278.85;1714430;264.50166666666667
127;20220704;0;279.95;281.35;278.5;280.55;2177970;265.67333333333335
128;20220705;0;280.05;281.45;275.25;276.3;1905250;267.0416666666667
129;20220706;0;276.3;277.25;267.6;270.05;3010800;268.385
130;20220707;0;269.9;273.05;268.1;273.0;1703980;269.21833333333336
131;20220708;0;272.85;275.05;269.7;275.05;4262310;270.0133333333334
132;20220711;0;247.55;247.55;237.05;239.85;4680550;270.075
133;20220712;0;239.05;239.6;227.2;236.85;4289580;269.81333333333333
134;20220713;0;236.9;238.95;231.0;233.9;1685560;269.21333333333337
135;20220714;0;232.75;235.0;228.85;229.8;1888240;268.4733333333333
136;20220715;0;229.5;239.55;226.0;236.9;1483400;267.555
137;20220718;0;237.95;239.75;231.25;236.3;1102410;266.78166666666664
138;20220719;0;236.25;236.8;231.55;232.55;797860;265.99
139;20220720;0;232.7;236.0;231.8;232.6;622060;264.8383333333333
140;20220721;0;232.5;233.5;227.2;229.05;829940;263.5883333333333
