DATE;TIME;OPEN;HIGH;LOW;CLOSE;VOL;SMA30
20211201;0;338.57;350.37;337.61;345.21;92906220;0
20211202;0;347.3;352.67;344.8;350.3;75360830;0
20211203;0;351.5;353.13;343.21;345.99;51627900;0
20211206;0;347.27;349.36;333.35;338.94;70924550;0
20211207;0;339.25;346;333.43;344.96;75507480;0
20211208;0;346;348.47;336.53;340.5;78321390;0
20211209;0;341.45;344.2;335.72;336.6;61406510;0
20211210;0;337.02;338.31;329.98;332;44642520;0
20211213;0;333.09;334.88;305.76;307.26;140577980;0
20211214;0;306.99;320;289.78;319.35;168672960;0
20211215;0;319.65;325.83;316.5;324.09;79742820;0
20211216;0;326.18;332.3;325.38;328.39;95469330;0
20211217;0;327.98;329.7;323.03;327.3;72099410;0
20211220;0;324;326;316.11;325.9;70795770;0
20211221;0;326.75;339.88;326.5;339.88;80061070;0
20211222;0;340.01;349.59;339.29;345.55;96809420;0
20211223;0;346.1;348.32;337;339.81;72129000;0
20211224;0;339.3;340.98;334.55;338.79;39005950;0
20211227;0;339.68;343.97;339.33;343.97;29925890;0
20211228;0;344.04;346.6;342.55;343.23;34848840;0
20211229;0;343.3;344.48;337.13;340.33;43005060;0
20211230;0;340.75;344;337.4;342.39;40853240;0
20220103;0;345.01;353.88;344.3;353.73;40057980;0
20220104;0;353.99;358.1;348.35;352.55;52693510;0
20220105;0;351.9;353.5;331.55;335;80969440;0
20220106;0;335.8;347.67;330.11;346.13;74572470;0
20220110;0;348.33;351;340.51;344;51047490;0
20220111;0;344.68;347;341.27;343.74;41961140;0
20220112;0;344.11;348.64;339.57;347.43;53443260;0
20220113;0;347.11;347.5;333.49;337.6;118257640;0
20220114;0;338.59;340.96;321.51;335.76;120546960;339.237
20220117;0;335.91;338.95;319.17;327.81;96925780;339.238
20220118;0;329.15;329.3;296.7;301.11;220096130;338.858
20220119;0;300;320.42;282.72;318.36;220036310;338.113
20220120;0;318.36;326.69;310.07;310.42;130261430;336.537
20220121;0;309.49;321.99;303.5;311.6;119002830;335.841
20220124;0;310.78;314;280.6;294.59;236346280;334.624
20220125;0;293.9;305;289.62;302.96;143155040;333.602
20220126;0;302.9;307.7;293.7;299.6;125060870;332.164
20220127;0;296.85;330;294;325.25;216008170;331.158
20220128;0;325.51;334.9;322.05;329.58;116166660;330.82
20220131;0;330.92;336.41;330.52;334.8;69903820;331.015
20220201;0;334.94;336.63;325.3;330.95;67998200;331.173
20220202;0;332.39;333.7;325.7;331.7;54751740;331.405
20220203;0;329.99;331;322.3;323.75;57592210;331.685
20220204;0;325.5;334.5;320.88;324.6;88647300;331.793
20220207;0;324.53;327.44;316.64;321.25;56290530;331.309
20220208;0;321.45;331.87;319;331.7;77965300;330.59
20220209;0;332.3;336;330.18;335.08;63254680;329.995
20220210;0;335.41;335.47;328.1;328.93;61929870;329.749
20220211;0;328.95;328.95;316.2;318.1;100750430;329.462
20220214;0;314.1;324.9;303.25;321.85;121203060;328.983
20220215;0;322.5;335.5;322.44;333.6;96875770;328.095
20220216;0;335.86;339.98;331.62;336.5;77128130;327.345
20220217;0;336.36;336.36;322.04;323.51;102149710;326.74
20220218;0;325.6;329.32;306.7;309.48;125452970;326.222
20220221;0;309.47;318.9;241;257.3;413243360;325.882
20220222;0;253.95;284.07;246.7;283.51;324922990;324.587
20220224;0;255.02;255.02;126.53;210;413550130;321.563
20220225;0;208.01;244.94;191.6;228;211877250;318.593
20220324;0;251.41;278.9;232;258.51;78576580;313.956
20220325;0;263.99;269.33;225.6;227;67191030;311.05
20220328;0;225.25;229.45;213.03;218.6;24680170;308.653
20220329;0;220;226;206;208;40309120;305.19
20220330;0;211.02;219.41;210.52;216;38559960;302.523
20220331;0;218.98;249;217.1;242.48;83862320;298.945
20220401;0;245.9;258.7;242.48;251.4;50423650;295.928
20220404;0;254.04;259.99;237.31;252.9;40926330;293.765
20220405;0;254.01;256.39;231.45;243.5;39850580;292.437
20220406;0;238.73;247.8;234.41;239.7;20530890;290.807
20220407;0;240.04;246.8;239.13;245;22367990;288.87
20220408;0;246.79;246.79;240;241.07;14799110;286.021
20220411;0;241.9;242.78;234.16;234.55;15637750;283.216
20220412;0;234;236.63;223;236.3;26615790;280.115
20220413;0;237.99;239.64;232.13;234.87;12663510;276.835
20220414;0;234.9;235.5;221.1;222.11;21906730;273.769
20220415;0;221.99;226.65;215.74;224;19933030;270.749
20220418;0;224.29;226;216.6;216.99;15584460;267.331
20220419;0;216.9;222;207;220.72;30669110;264.092
20220420;0;221.43;229.84;215.63;218.92;33569140;260.245
20220421;0;220.03;221;210.29;210.29;24292390;256.446
20220422;0;210.5;215;207.01;208;28717940;252.815
20220425;0;209.95;209.95;201.12;206.35;18767820;249.362
20220426;0;207.97;229.74;206.54;225.85;46484770;245.61
20220427;0;226.04;237.5;221.61;237.15;48219530;241.347
20220428;0;239.4;249;235.5;237.53;68889640;237.67
20220429;0;238.58;245.43;238;240.4;43392920;234.797
20220504;0;241.01;244.39;233.12;234.16;20919150;232.434
20220505;0;235.58;239.4;235.08;238.6;14781210;232.002
20220506;0;238.5;242.92;235.1;240.1;17969460;231.354
20220511;0;239.77;243.35;237.58;241.99;16477840;232.371
20220512;0;241.88;241.89;227.22;230.56;24397760;231.983
20220513;0;232.12;237.2;229.02;235.52;17291690;231.246
20220516;0;234.99;246.95;233.11;244.2;28222680;231.475
20220517;0;246.02;260;245.3;258.8;59981560;231.974
20220518;0;261.02;269.42;261;264.84;51077950;233.141
20220519;0;268;269.78;262.65;266.68;24769920;234.542
20220520;0;268.46;268.9;260.41;263;27534560;235.279
20220523;0;265.44;273;263;263;30528440;235.76
20220524;0;262.99;267.29;250.4;265.8;52284340;236.141
20220525;0;268.4;271.66;263.8;271.4;37448790;236.949
20220526;0;273;298.31;245;295.89;146238060;237.895
20220527;0;300;305;293.53;294.5;53491660;238.768
20220530;0;298.64;302;296.28;300.8;30751410;240.705
20220531;0;301.87;302;293.51;293.75;19483010;242.86
20220601;0;293.51;299.5;290.25;297.69;22504010;244.989
20220602;0;297.7;299.33;294.9;296;16674500;246.943
20220603;0;296.1;297.24;291;297;18742740;249.466
20220606;0;298;299;295.12;296.5;14699600;251.86
20220607;0;297.37;298.69;294.52;297.99;15656500;254.563
20220608;0;298.8;309.6;298.16;308;40345320;257.095
20220609;0;309.97;310.52;303.2;306.5;26287360;259.72
20220610;0;306.48;310.98;305.06;309.2;20321460;263.036
20220614;0;308.98;322.77;307;317.69;47441270;266.254
20220615;0;318.99;322.99;314.11;316.2;33652300;269.621
20220616;0;316.55;318.25;314.5;316.99;23466240;272.719
20220617;0;317.58;317.7;313.5;315.5;13072610;275.291
20220620;0;316.07;318;311;311.98;21010920;277.924
20220621;0;312.31;312.86;300.77;301.58;50618050;280.426
20220622;0;300.1;301.91;294.36;295.8;48668440;282.984
20220623;0;295.81;304.6;291.1;303.5;46696840;285.037
20220624;0;304.1;307.45;295.55;296;35835180;286.905
20220627;0;296;299.8;295.1;296.2;22091320;288.979
20220628;0;296.8;303.88;293.22;297.2;39920600;291.108
20220629;0;297.91;300.78;293.8;297.65;34110040;293.169
20220630;0;299.6;310.82;200;207;307937340;294.898
20220701;0;200.84;201.85;186.2;192.5;113621040;296.184
20220704;0;191.98;195.44;181.2;186.25;82829080;293.946
20220705;0;186.3;199.87;185.2;197.3;75951460;291.396
20220706;0;197.78;205.78;194.44;195.42;82287890;288.758
20220707;0;195.45;199.47;192.36;197.92;43640940;286.585
20220708;0;200.01;201.87;196.57;198;28708030;284.153
20220711;0;198.01;199.43;188.79;188.9;46480130;281.72
20220712;0;189.18;193;184;191.4;46422510;278.32
20220713;0;191.2;194;185.3;186;33168820;274.672
20220714;0;186.3;188.1;183.11;184.55;29072130;270.983
20220715;0;184.7;188.9;183.22;187.61;22991690;267.409
20220718;0;188.91;189.5;185.52;186.7;16920940;263.642
20220719;0;186.1;189.6;184.6;189.51;22570310;260.069
20220720;0;190.01;195.8;190;193.3;43995650;256.339
20220721;0;194.65;195.45;188;189.59;27751520;252.761
20220722;0;189.3;192.95;188.6;192.25;17804370;249.289
20220725;0;192.61;194.65;190.56;192;22091280;245.267
20220726;0;192;194.49;191.2;193.95;19947370;241.471
20220727;0;194.51;197.5;194.1;196.49;28307100;237.572
20220728;0;198.03;198.79;195;196.25;21848760;233.422
20220729;0;196.2;196.8;193.5;195.26;14108820;229.472
20220801;0;194.5;194.69;192;192;13034930;225.426
20220802;0;191.56;191.68;186.8;187.16;24267570;221.373
20220803;0;187.59;188.97;186.31;187.04;12005960;217.348
20220804;0;187.04;187.22;184.3;184.9;13313950;213.598
20220805;0;184.75;185.62;175.75;176.58;49069120;209.972
20220808;0;180;181.82;177.25;177.86;32498370;205.994
20220809;0;178.01;181.38;175.2;181.04;24395270;202.127
20220810;0;181.03;182.33;178.53;178.81;20411200;198.168
20220811;0;179.47;180.63;173.51;174.1;26740660;194.272
20220812;0;174.5;175.88;172.29;174.36;20387000;190.267
20220815;0;174.06;175.5;172.4;174.8;18459840;189.389
