DATE;TIME;OPEN;HIGH;LOW;CLOSE;VOL;SMA30
20211201;0;294.15;300;294.1;296.45;2479110;0
20211202;0;297.95;298.4;294.8;297.85;2140350;0
20211203;0;298.05;298.35;294.15;295.1;1985070;0
20211206;0;295.25;300.6;290.35;293.85;2339860;0
20211207;0;293.85;294.95;289.55;291.45;3115520;0
20211208;0;291.5;294.15;287.05;290.1;4351310;0
20211209;0;291;291.3;287.55;288.45;2745850;0
20211210;0;288.5;290.65;285.15;287.05;4897940;0
20211213;0;288.6;289.2;276.55;277.45;5643010;0
20211214;0;278;280.1;265.7;276.25;4925680;0
20211215;0;277.95;284.5;276.25;279.85;5620070;0
20211216;0;279.95;287.7;278.1;286.95;6936700;0
20211217;0;287;292.05;285;289.4;6363890;0
20211220;0;289.4;291.3;285.15;290.4;3275260;0
20211221;0;290.45;291.75;288.2;290.05;4262260;0
20211222;0;290.1;295.4;289.55;291.25;2965430;0
20211223;0;291.2;292.75;289.7;290.55;1466640;0
20211224;0;290.5;292.05;287.2;290.7;1835430;0
20211227;0;290.7;294.95;290.2;293.95;1973210;0
20211228;0;294.45;297.2;293.05;295.6;2022600;0
20211229;0;296.7;297.55;294.1;296.4;1418990;0
20211230;0;296.4;298.95;295.55;298.9;1131710;0
20220103;0;299;305;298.05;304.65;2093030;0
20220104;0;304.65;306.5;302.85;304.95;1854220;0
20220105;0;305.15;306;298.3;298.3;1840990;0
20220106;0;298;300.6;295.35;299.2;2449240;0
20220110;0;300.2;302.5;291.1;295.85;1808120;0
20220111;0;295.75;297.5;293.55;296.2;1817570;0
20220112;0;296;301;294.2;296.45;1837630;0
20220113;0;296.45;298.35;287.95;291.65;3468750;0
20220114;0;291.25;292.7;281.6;289.65;4603710;292.895
20220117;0;289.5;291.45;276.1;281.7;5543820;292.798
20220118;0;282.2;284;267.1;272.95;10115990;292.517
20220119;0;273.1;286.7;267;274.8;8948650;291.988
20220120;0;275.9;280.65;273.2;274.4;5290440;291.25
20220121;0;274.15;279.7;272.05;273.45;4606200;290.652
20220124;0;273.8;275.45;263.3;272.95;10598470;290.073
20220125;0;271.55;279.5;268.2;279.45;5771900;289.5
20220126;0;279.45;284.9;276.25;277.9;5605390;288.935
20220127;0;277.85;289;275.05;278.45;6089890;288.63
20220128;0;280;285.55;275.2;285.55;3495320;288.625
20220131;0;286.1;292;286;287.4;4805940;288.693
20220201;0;288.45;291;286.25;289.6;2440500;288.898
20220202;0;289.7;290.9;285.5;285.8;2057660;288.947
20220203;0;285.5;286.15;280;284.6;2046930;288.957
20220204;0;284.75;288.3;281.5;283.25;1703930;288.792
20220207;0;284.95;286.7;282.25;284.45;1036560;288.613
20220208;0;283.65;290.15;283.55;289.75;1488950;288.405
20220209;0;290;290.5;286.75;289.9;3587920;288.177
20220210;0;289.95;294.9;283.6;293.45;4457650;288.153
20220211;0;292.95;292.95;282.7;284.8;3350700;288.003
20220214;0;283.5;286.7;276.5;280.8;5063360;287.878
20220215;0;281.45;287.85;280.7;287.3;3278770;287.448
20220216;0;286.95;291.65;286;287.4;2972110;286.863
20220217;0;287.4;287.8;281.1;283.45;4539810;286.273
20220218;0;284.95;286.9;271.3;272.85;5274510;285.682
20220221;0;273;278;226;239.75;20241500;285.247
20220222;0;235.45;263.9;219.5;260.85;16717910;284.34
20220224;0;238;240;155;206.65;10822790;282.33
20220225;0;205;247.8;205;217.5;6146110;280.397
20220324;0;200;236;198.15;205.6;3077740;277.348
20220325;0;206.9;208.25;188.2;190.6;3898530;274.307
20220328;0;191;194.2;181.2;184.8;966300;271.553
20220329;0;184.8;188.65;171.5;174.7;1988410;268.513
20220330;0;177.2;235;177.2;233;3495200;265.57
